,P_0,K_r12,K_d,K_dd,K_g,h_init,misfit,D_mean,RMSD,NA_iter
1,0.0001486509,1.084e-07,0.02036442,0.444912,0.0077468319999999995,0.8719995999999999,-3.5133530358,0.24968467935191963,0.12913009944282325,0.0
2,2.33823425e-05,3.5940649999999997e-07,0.03650388,0.007972003,0.19715220000000003,2.859245,-3.6277403833,0.1992771425820925,0.1363926773425114,0.0
3,2.7722199999999996e-06,4.1593790000000006e-07,0.03021929,0.06722032,0.05469471,2.3601400000000003,-2.0255043549000002,0.47934277596526303,0.27739238315623127,0.0
4,1.314826e-06,0.0002667429,0.04319013,0.007311781999999999,0.04952849,0.6627926,-1.6132509024000001,0.6411794659067716,0.31393643442058206,0.0
5,2.3934007500000002e-05,1.7566879999999998e-05,0.00017083,0.33651490000000006,0.0075686980000000004,0.8483393,-2.0864084719,0.3428851414926078,0.33397863963612767,0.0
6,2.0770722500000002e-05,3.829763e-06,0.006394736999999999,0.003583565,0.13706729999999998,1.219099,-3.2233400862,0.234313878495435,0.14387538762871646,0.0
7,3.61455e-06,1.589351e-05,0.007211438000000001,0.01161021,0.0051628659999999995,2.014626,-3.2947927127999996,0.2281651707133975,0.16127115973416767,0.0
11,2.5888249999999997e-06,0.0001407685,0.0006999788,0.02115965,0.02638862,1.945816,-1.8015949805000002,0.31825287114876377,0.4557367759379513,0.0
13,8.7288825e-06,1.267277e-06,0.0001900448,0.2727706,0.07904345,0.3422644,-1.7830311887,0.35100626375179816,0.4166696964671518,0.0
16,5.0170925e-07,1.922046e-07,0.02229102,0.1005038,0.06837392,0.3117216,-1.3581482461,0.6870981120863112,0.38011615351809697,0.0
17,2.2338595e-06,1.554979e-07,0.01306922,0.001245421,0.2554364,1.998778,-2.0307029386,0.39797605586735024,0.3216849050809478,0.0
20,2.46967575e-06,5.138089999999999e-06,0.002440256,0.4098094,0.0010048639999999998,2.9995939999999996,-1.5057110041,0.4332471548191824,0.46035347525872267,0.0
22,3.0407325e-06,0.0004756504,0.004786476,0.00238232,0.00053469,2.596274,-1.7774623331000001,0.40755329460454387,0.4069838589137208,0.0
23,4.038305e-06,0.00033115559999999996,0.0009416047,0.004055569,0.0069517269999999996,2.7717110000000003,-2.0031179703,0.30926462874794675,0.40977389136981196,0.0
25,3.415395e-05,7.470399e-07,0.0001385672,0.03442453,0.1268276,0.8606674000000001,-3.5102767894999998,0.23949137054037936,0.10448474185465274,0.0
26,2.7762925e-05,2.481287e-07,0.001682688,0.04275323,0.1600157,2.344866,-4.5109754181,0.22500951683764328,0.045086106588154456,0.0
28,1.045413e-05,4.331005e-05,0.04206283,0.01664099,0.009987538,2.407434,-2.5786019225,0.3166712660395075,0.2430897395211456,0.0
29,7.22293e-07,6.188564e-06,0.0004755311,0.02283623,0.009131047,2.383546,-3.0936810845999996,0.20985113624214924,0.22022817035522138,0.0
30,2.2490985000000003e-06,1.244787e-06,0.002199903,0.07070661,0.03126868,1.694013,-1.8418563819999998,0.3863860372451541,0.3907365794297462,0.0
33,7.6311075e-06,2.844879e-06,0.0002061228,0.02440979,0.001251157,2.546424,-3.4111939766000003,0.17671697933160196,0.1837551205061601,0.0
