,P_0,K_r12,K_d,K_dd,K_g,h_init,misfit,D_mean,RMSD,cluster
1066,2.8903e-05,5.003192e-07,0.00029569490000000003,0.03197664,0.7310131999999999,1.8266099999999998,-5.534606769600001,0.24387173151584385,0.014803625191095075,3
1643,2.7324524999999997e-05,3.47383e-05,0.0015386479999999999,0.02233739,0.545313,0.07640333,-5.5152093088,0.26071060233573573,0.013870634472994569,4
1660,5.1012325e-06,2.905702e-06,0.003672667,0.002955321,0.000793105,0.3632999,-5.4706828324000005,0.21245233756207235,0.019144779439926304,1
1687,3.10014e-05,0.0002549236,0.001080037,0.003118627,0.7578467,0.01324448,-5.602877317000001,0.266695630986592,0.013826321321610649,5
1874,2.6923975e-05,2.246474e-05,0.001879061,0.01998399,0.5517460999999999,0.09341103,-5.6443137802,0.26140156557965544,0.012309730312782059,4
2053,2.9236174999999998e-05,1.678566e-07,0.00021486400000000002,0.02862728,0.9199881,1.88278,-5.4619001665999996,0.2530234455048115,0.015900846879126452,3
2071,3.0733225e-05,5.216800999999999e-05,0.0009069407000000001,0.0243532,0.7391922,0.07164191,-5.5253594197,0.2639932421638061,0.01434222803571417,4
2255,2.8749175e-05,5.31668e-07,0.0002184748,0.03156256,0.8850334999999999,1.695586,-5.7150775277,0.24991603665301734,0.012158935773472327,3
2257,3.366525e-05,0.0003321677,0.0009558797,0.003169987,0.7845319000000001,0.12726210000000002,-5.5309952012,0.2700447578592879,0.01511509132749204,5
2273,2.7257275e-05,2.12786e-07,0.0002464373,0.02670054,0.8758674999999999,1.6139379999999999,-5.4135913033000005,0.2559629971986556,0.016500690646104047,3
2275,2.6830949999999998e-05,2.1274460000000002e-07,0.0002446419,0.02541498,0.6882988,1.9606139999999999,-5.4951809601,0.25121401053261944,0.015474959932368982,3
2280,3.9147374999999994e-07,1.290631e-06,0.001250759,0.0013870360000000001,0.004430999000000001,0.6679579000000001,-5.504543943,0.20159224793835295,0.019834137228486252,2
2289,2.8844549999999998e-05,2.921901e-05,0.001121584,0.0256573,0.7408937,0.2807809,-5.538554801699999,0.26047694562462537,0.013723347954614627,4
2292,3.006045e-05,3.1092440000000003e-05,0.001253512,0.0273672,0.6449037,0.2000932,-5.7791753449000005,0.25733596152525606,0.010728534326897821,4
2294,3.0566149999999995e-05,0.00022613509999999998,0.0012681889999999999,0.0008391497999999999,0.49037759999999997,0.09051903,-5.4896535224,0.2731878209226464,0.01505250058074821,5
2300,2.9301100000000003e-07,1.037791e-06,0.0014079189999999999,0.0017362870000000002,0.003750005,0.6900578,-5.7931281888,0.2074322740437495,0.014593894414906002,2
2437,2.5008025e-07,9.090318e-07,0.00117882,0.002258185,0.004375612,0.6708420999999999,-5.4829909715,0.20365712014537246,0.020094439243069823,2
2452,2.90004e-07,1.165797e-06,0.001784496,0.001557408,0.003999323,0.6849071,-5.4395104628999995,0.20110855193422403,0.021451697316725884,2
2453,2.7575475e-07,1.157918e-06,0.001819994,0.002144985,0.002804552,0.6816939999999999,-5.4145610764,0.19979078431607164,0.022030620083271016,2
2457,2.734335e-05,2.371962e-05,0.00175769,0.01947871,0.5119387,0.15893800000000002,-5.536085482100001,0.2613195548795994,0.01396166529227174,4
2460,2.7852624999999997e-05,1.7054620000000002e-05,0.00199306,0.02097487,0.5124186,0.1364697,-5.5396806422000004,0.25809231231560126,0.013788575220755231,4
2475,6.157220000000001e-07,1.171792e-06,0.0012580760000000001,0.001213501,0.004819271,0.6606959,-5.468380916799999,0.20820938795097724,0.01970940865128694,2
2546,3.10816e-05,2.192016e-05,0.001286187,0.02994557,0.6934938,0.2306107,-5.535300543099999,0.25291965479497475,0.013847854183173101,4
